P1,P2,P3,P4
-9.685,-4.1339999999999995,4.508,9.626
-9.547,-3.9960000000000004,4.37,9.783
-9.685,-4.1339999999999995,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.547,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.921
-9.547,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.547,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.72,4.665,9.783
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,8.937000000000001
-9.685,-3.858,4.508,9.626
-9.547,-3.9960000000000004,4.665,8.937000000000001
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,8.937000000000001
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.921
-10.097999999999999,-3.9960000000000004,4.665,9.488
-9.961,-3.858,4.508,9.626
-9.547,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-10.097999999999999,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,10.059
-9.685,-3.858,4.508,9.921
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.921
-9.823,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.508,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.508,9.921
-9.823,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.508,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.803,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.803,9.35
-9.823,-3.9960000000000004,4.665,9.488
-9.961,-4.1339999999999995,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.961,-3.858,4.803,9.626
-9.823,-3.72,4.665,9.488
-10.236,-3.858,4.803,9.626
-10.374,-3.72,4.665,9.488
-9.685,-3.858,4.803,9.626
-9.547,-3.72,4.665,9.488
-9.685,-3.858,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-4.1339999999999995,4.803,9.626
-10.097999999999999,-3.9960000000000004,4.665,9.488
-9.685,-4.1339999999999995,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-4.1339999999999995,4.803,9.626
-10.097999999999999,-3.9960000000000004,4.665,9.488
-9.961,-4.1339999999999995,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.803,9.626
-10.097999999999999,-3.72,4.665,9.488
-9.685,-3.858,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.803,9.626
-9.547,-3.9960000000000004,4.665,9.488
-9.685,-3.858,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.488
-9.685,-4.1339999999999995,4.803,9.626
-9.547,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.803,9.626
-9.547,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.803,9.626
-9.823,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.803,9.626
-9.547,-3.9960000000000004,4.665,9.783
-9.39,-3.858,4.803,9.626
-9.547,-3.72,4.665,9.783
-9.685,-3.858,4.803,9.626
-9.547,-3.9960000000000004,4.665,9.783
-9.685,-3.858,4.803,9.626
-9.547,-3.72,4.665,9.783
-9.685,-3.858,4.803,9.626
-9.547,-3.9960000000000004,4.665,9.783
-9.39,-3.858,4.803,9.626
-9.547,-3.9960000000000004,4.665,9.783
-9.39,-3.858,4.803,9.626
-9.547,-3.72,4.665,9.783
-9.39,-3.858,4.803,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.858,4.803,9.921
-9.547,-3.72,4.941,9.783
-9.39,-3.858,4.803,9.646
-9.547,-3.72,4.941,9.783
-9.39,-3.858,4.803,9.646
-9.547,-3.72,4.941,9.783
-9.39,-3.858,4.803,9.921
-9.547,-3.72,4.941,9.802999999999999
-9.39,-3.858,4.803,9.921
-9.823,-3.72,4.941,9.783
-9.685,-3.858,4.803,9.941
-9.547,-3.72,4.941,9.802999999999999
-9.39,-3.858,4.803,9.921
-9.547,-3.9960000000000004,4.941,10.059
-9.39,-3.858,4.803,10.197000000000001
-9.252,-3.9960000000000004,4.941,10.059
